"Case_id","name","image_view","image_url","style","color","lightning","cm_keywords"
cm03,Elite301White,Rear,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/Elite301/Elite301White_Rear.webp,Minimalist,White,Yes,"vertical striped mesh, front mesh panel, RGB fans, Tempered glass side panel, cm title"
cm04,Elite301,Front,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/Elite301/Elite301_Front.webp,Minimalist,Black,Yes,"vertical striped mesh, front mesh panel, RGB fans, Tempered glass side panel, black side panel frame, top ventilation mesh, cm title"
cm04,Elite301,FrontTop,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/Elite301/Elite301_FrontTop.webp,Minimalist,Black,Yes,"vertical striped mesh, front mesh panel, RGB fans, Tempered glass side panel, black side panel frame, top ventilation mesh, cm title"
cm04,Elite301,Left45,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/Elite301/Elite301_Left45.webp,Minimalist,Black,Yes,"vertical striped mesh, front mesh panel, RGB fans, Tempered glass side panel, black side panel frame, top ventilation mesh, cm title"
cm04,Elite301,Left90,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/Elite301/Elite301_Left90.webp,Minimalist,Black,Yes,"vertical striped mesh, front mesh panel, RGB fans, Tempered glass side panel, black side panel frame, top ventilation mesh, cm title"
cm04,Elite301,Rear,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/Elite301/Elite301_Rear.webp,Minimalist,Black,Yes,"vertical striped mesh, front mesh panel, RGB fans, Tempered glass side panel, black side panel frame, top ventilation mesh, cm title"
cm05,Elite301Lite,Front,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/Elite301Lite/Elite301Lite_Front.webp,Minimalist,Black,Yes,"vertical striped mesh, front mesh panel,Tempered glass side panel, cm title"
cm05,Elite301Lite,Left45,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/Elite301Lite/Elite301Lite_Left45.webp,Minimalist,Black,Yes,"vertical striped mesh, front mesh panel,Tempered glass side panel, cm title"
cm05,Elite301Lite,Left90,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/Elite301Lite/Elite301Lite_Left90.webp,Minimalist,Black,Yes,"vertical striped mesh, front mesh panel,Tempered glass side panel, cm title"
cm06,Elite301WhiteLite,Front,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/Elite301Lite/Elite301WhiteLite_Front.webp,Minimalist,White,Yes,"vertical striped mesh, front mesh panel,Tempered glass side panel, cm title"
cm06,Elite301WhiteLite,Left45,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/Elite301Lite/Elite301WhiteLite_Left45.webp,Minimalist,White,Yes,"vertical striped mesh, front mesh panel,Tempered glass side panel, cm title"
cm06,Elite301WhiteLite,Left90,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/Elite301Lite/Elite301WhiteLite_Left90.webp,Minimalist,White,Yes,"vertical striped mesh, front mesh panel,Tempered glass side panel, cm title"
cm07,HAF500,Front,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/HAF500%E4%B8%AD%E7%9B%B4%E7%AB%8B%E5%BC%8F%E6%A9%9F%E6%AE%BC/HAF500%E4%B8%AD%E7%9B%B4%E7%AB%8B%E5%BC%8F%E6%A9%9F%E6%AE%BC_Front.webp,"Gaming, High Airflow",Black,Yes,"Mesh front, Large ARGB fans, Tempered glass side panel"
cm07,HAF500,Left90,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/HAF500%E4%B8%AD%E7%9B%B4%E7%AB%8B%E5%BC%8F%E6%A9%9F%E6%AE%BC/HAF500%E4%B8%AD%E7%9B%B4%E7%AB%8B%E5%BC%8F%E6%A9%9F%E6%AE%BC_Left90_1.webp,"Gaming, High Airflow",Black,Yes,"Mesh front, Large ARGB fans, Tempered glass side panel"
cm07,HAF500,Left45,https://os-jo.com/image/cache/catalog/products/cases/H500-KGNN-S00/H500-KGNN-S00-650x400.jpg,"Gaming, High Airflow",Black,Yes,"Mesh front, Large ARGB fans, Tempered glass side panel"
cm08,HAF700,Front,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/HAF700/HAF700_Front.webp,"Futuristic, High Airflow",Black,Yes,"Large ARGB fans, Multi-layer front panel, Tempered glass side panel"
cm08,HAF700,Left45,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/HAF700/HAF700_Left45_1.webp,"Futuristic, High Airflow",Black,Yes,"Large ARGB fans, Multi-layer front panel, Tempered glass side panel"
cm09,HAF700White,Front,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/HAF700/HAF700_Front_white.webp,"Futuristic, High Airflow",White,Yes,"Large ARGB fans, Multi-layer front panel, Tempered glass side panel"
cm09,HAF700White,Left45,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/HAF700/HAF700_Left45_white.webp,"Futuristic, High Airflow",White,Yes,"Large ARGB fans, Multi-layer front panel, Tempered glass side panel"
cm10,HAF700EVO,Front,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/HAF700EVO/HAF700EVO_Front.webp,"Futuristic, High Airflow",Black,Yes,"Vertical RGB light bars, Tempered glass side panel, Front LCD screen"
cm10,HAF700EVO,Left45,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/HAF700EVO/HAF700EVO_Left45.webp,"Futuristic, High Airflow",Black,Yes,"Vertical RGB light bars, Tempered glass side panel, Front LCD screen"
cm10,HAF700EVO,Left90,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/HAF700EVO/HAF700EVO_Left90.webp,"Futuristic, High Airflow",Black,Yes,"Vertical RGB light bars, Tempered glass side panel, Front LCD screen"
cm11,HAF700EVOWhite,Left45,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/HAF700EVO/HAF700EVO_Left45_white.webp,"Futuristic, High Airflow",White,Yes,"Vertical RGB light bars, Tempered glass side panel, Front LCD screen"
cm11,HAF700EVOWhite,Left90,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/HAF700EVO/HAF700EVO_Left90_white.webp,"Futuristic, High Airflow",White,Yes,"Vertical RGB light bars, Tempered glass side panel, Front LCD screen"
cm12,Masterbox520ARGBATX,Front,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/MASTERBOX520ARGBATXPCCASE/MASTERBOX520ARGBATXPCCASE_Front.webp,Gaming,Black,Yes,"Transparent front panel, ARGB fans, Tempered glass side panel"
cm12,Masterbox520ARGBATX,Left45,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/MASTERBOX520ARGBATXPCCASE/MASTERBOX520ARGBATXPCCASE_Left45.webp,Gaming,Black,Yes,"Transparent front panel, ARGB fans, Tempered glass side panel"
cm13,Masterbox520ARGBATXWhite,Front,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/MASTERBOX520ARGBATXPCCASE/MASTERBOX520ARGBATXPCCASE_Front_white.webp,Gaming,White,Yes,"Transparent front panel, ARGB fans, Tempered glass side panel"
cm13,Masterbox520ARGBATXWhite,Left45,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/MASTERBOX520ARGBATXPCCASE/MASTERBOX520ARGBATXPCCASE_Left45_white.webp,Gaming,White,Yes,"Transparent front panel, ARGB fans, Tempered glass side panel"
cm14,MasterboxMB320LARGB,Front,https://img.overclockers.co.uk/media/image/CA382CM_251741.jpg,Gaming,Black,Yes,"Split front panel, Hexagonal mesh, ARGB fans, Tempered glass side panel"
cm14,MasterboxMB320LARGB,Left45,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/MasterBox%20MB320L%20ARGB/MasterBox%20MB320L%20ARGB_Left45_1.webp,Gaming,Black,Yes,"Split front panel, Hexagonal mesh, ARGB fans, Tempered glass side panel"
cm14,MasterboxMB320LARGB,Left90,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/MasterBox%20MB320L%20ARGB/MasterBox%20MB320L%20ARGB_Left_2.webp,Gaming,Black,Yes,"Split front panel, Hexagonal mesh, ARGB fans, Tempered glass side panel"
cm15,MasterboxMB400L,Front,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/MasterBox%20MB400L%E7%84%A1%E5%85%89%E7%A2%9F%E6%A9%9F%E7%89%88/MasterBox%20MB400L%E7%84%A1%E5%85%89%E7%A2%9F%E6%A9%9F%E7%89%88_Front.webp,Minimalist,Gunmetal,No,"Solid front panel, Vertical hexagonal mesh, Brushed texture"
cm15,MasterboxMB400L,Left45,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/MasterBox%20MB400L%E7%84%A1%E5%85%89%E7%A2%9F%E6%A9%9F%E7%89%88/MasterBox%20MB400L%E7%84%A1%E5%85%89%E7%A2%9F%E6%A9%9F%E7%89%88_Left45_1.webp,Minimalist,Gunmetal,No,"Solid front panel, Vertical hexagonal mesh, Brushed texture"
cm15,MasterboxMB400L,FrontTop,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/MasterBox%20MB400L%E7%84%A1%E5%85%89%E7%A2%9F%E6%A9%9F%E7%89%88/MasterBox%20MB400L%E7%84%A1%E5%85%89%E7%A2%9F%E6%A9%9F%E7%89%88_FrontTop.webp,Minimalist,Gunmetal,No,"Solid front panel, Vertical hexagonal mesh, Brushed texture"
cm16,MasterboxMB511ARGB,FrontTop,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/MasterBox%20MB511%20ARGB/MasterBox%20MB511%20ARGB_FrontTop.webp,"Gaming, High Airflow",Black,Yes,"Full mesh front panel, Hexagonal mesh pattern, ARGB fans"
cm16,MasterboxMB511ARGB,Left45,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/MasterBox%20MB511%20ARGB/MasterBox%20MB511%20ARGB_Left45_1.webp,"Gaming, High Airflow",Black,Yes,"Full mesh front panel, Hexagonal mesh pattern, ARGB fans"
cm17,MasterboxNR200PV2Mini,FrontTop,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/MasterBox%20NR200P%20V2%20Mini-ITX%20PC%20Case/MasterBox%20NR200P%20V2%20Mini-ITX%20PC%20Case_FrontTop.webp,Minimalist,Gunmetal,No,Patterned mesh Side panels
cm17,MasterboxNR200PV2Mini,Left45,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/MasterBox%20NR200P%20V2%20Mini-ITX%20PC%20Case/MasterBox%20NR200P%20V2%20Mini-ITX%20PC%20Case_Left45_1_Black.webp,Minimalist,Gunmetal,No,Patterned mesh Side panels
cm18,MasterboxNR200PV2MiniWhite,Left45,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/MasterBox%20NR200P%20V2%20Mini-ITX%20PC%20Case/MasterBox%20NR200P%20V2%20Mini-ITX%20PC%20Case_Left45_1_White.webp,Minimalist,White,No,Patterned mesh Side panels
cm19,MasterboxNR400,Front,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/MasterBox%20NR400%20%E5%85%89%E7%A2%9F%E6%A9%9F%E7%89%88/MasterBox%20NR400%20%E5%85%89%E7%A2%9F%E6%A9%9F%E7%89%88_Front.webp,Minimalist,Black,No,"Mesh front panel, Tempered glass side panel, ODD bay"
cm19,MasterboxNR400,Left45,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/MasterBox%20NR400%20%E5%85%89%E7%A2%9F%E6%A9%9F%E7%89%88/MasterBox%20NR400%20%E5%85%89%E7%A2%9F%E6%A9%9F%E7%89%88_Left45_1.webp,Minimalist,Black,No,"Mesh front panel, Tempered glass side panel, ODD bay"
cm20,MasterBoxTD500MeshV2,Front,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/MasterBox%20TD500%20Mesh%20V2%20%E4%B8%AD%E7%9B%B4%E7%AB%8B%E5%BC%8F%E6%A9%9F%E6%AE%BC/MasterBox%20TD500%20Mesh%20V2%20%E4%B8%AD%E7%9B%B4%E7%AB%8B%E5%BC%8F%E6%A9%9F%E6%AE%BC_Front_Black.webp,"Gaming, High Airflow",Black,Yes,"Tempered glass side panel, Polygonal mesh front, ARGB fans"
cm20,MasterBoxTD500MeshV2,Left45,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/MasterBox%20TD500%20Mesh%20V2%20%E4%B8%AD%E7%9B%B4%E7%AB%8B%E5%BC%8F%E6%A9%9F%E6%AE%BC/MasterBox%20TD500%20Mesh%20V2%20%E4%B8%AD%E7%9B%B4%E7%AB%8B%E5%BC%8F%E6%A9%9F%E6%AE%BC_Left45_Black.webp,"Gaming, High Airflow",Black,Yes,"Tempered glass side panel, Polygonal mesh front, ARGB fans"
cm20,MasterBoxTD500MeshV2,Left45,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/MasterBox%20TD500%20Mesh%20V2%20%E4%B8%AD%E7%9B%B4%E7%AB%8B%E5%BC%8F%E6%A9%9F%E6%AE%BC/MasterBox%20TD500%20Mesh%20V2%20%E4%B8%AD%E7%9B%B4%E7%AB%8B%E5%BC%8F%E6%A9%9F%E6%AE%BC_Left90_Black.webp,"Gaming, High Airflow",Black,Yes,"Tempered glass side panel, Polygonal mesh front, ARGB fans"
cm21,MasterBox500,Left45_LeftPanelRemoved,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/MasterBox500%E4%B8%AD%E7%9B%B4%E7%AB%8B%E5%BC%8F%E6%A9%9F%E6%AE%BC/MasterBox500%E4%B8%AD%E7%9B%B4%E7%AB%8B%E5%BC%8F%E6%A9%9F%E6%AE%BC_Left45.webp,Gaming,Black,No,"Angular front panel, Vertical front grooves"
cm21,MasterBox500,Left90_LeftPanelRemoved,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/MasterBox500%E4%B8%AD%E7%9B%B4%E7%AB%8B%E5%BC%8F%E6%A9%9F%E6%AE%BC/MasterBox500%E4%B8%AD%E7%9B%B4%E7%AB%8B%E5%BC%8F%E6%A9%9F%E6%AE%BC_Left90.webp,Gaming,Black,No,"Angular front panel, Vertical front grooves"
cm21,MasterBox500,Right45,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/MasterBox500%E4%B8%AD%E7%9B%B4%E7%AB%8B%E5%BC%8F%E6%A9%9F%E6%AE%BC/MasterBox500%E4%B8%AD%E7%9B%B4%E7%AB%8B%E5%BC%8F%E6%A9%9F%E6%AE%BC_Right45.webp,Gaming,Black,No,"Angular front panel, Vertical front grooves"
cm22,Masterbox520MeshARGBATX,Front,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/MasterBox520MeshARGBATX%E6%A9%9F%E6%AE%BC/MasterBox520MeshARGBATX%E6%A9%9F%E6%AE%BC_Front.webp,Gaming,Black,Yes,"Full mesh front panel, ARGB fans, Tempered glass side panel"
cm22,Masterbox520MeshARGBATX,Left45,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/MasterBox520MeshARGBATX%E6%A9%9F%E6%AE%BC/MasterBox520MeshARGBATX%E6%A9%9F%E6%AE%BC_Left45_black.webp,Gaming,Black,Yes,"Full mesh front panel, ARGB fans, Tempered glass side panel"
cm22,Masterbox520MeshARGBATX,FrontTop,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/MasterBox520MeshARGBATX%E6%A9%9F%E6%AE%BC/MasterBox520MeshARGBATX%E6%A9%9F%E6%AE%BC_FrontTop.webp,Gaming,Black,Yes,"Full mesh front panel, ARGB fans, Tempered glass side panel"
cm23,Masterbox520MeshARGBATXWhite,Front,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/MasterBox520MeshARGBATX%E6%A9%9F%E6%AE%BC/MasterBox520MeshARGBATX%E6%A9%9F%E6%AE%BC_Front_white.webp,Gaming,White,Yes,"Full mesh front panel, ARGB fans, Tempered glass side panel"
cm23,Masterbox520MeshARGBATXWhite,Left45,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/MasterBox520MeshARGBATX%E6%A9%9F%E6%AE%BC/MasterBox520MeshARGBATX%E6%A9%9F%E6%AE%BC_Left45_white.webp,Gaming,White,Yes,"Full mesh front panel, ARGB fans, Tempered glass side panel"
cm24,MasterBox540,FrontTop,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/MasterBox540/MasterBox540_FrontTop.webp,Gaming,Black,Yes,"Angled front fins, Illuminated front panel, Tempered glass side panel"
cm24,MasterBox540,Left45,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/MasterBox540/MasterBox540_Left45.webp,Gaming,Black,Yes,"Angled front fins, Illuminated front panel, Tempered glass side panel"
cm25,MasterBox600,Front,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/MasterBox600/MasterBox600Black_Front.webp,Gaming,Black,Yes,"Mesh front panel, ARGB fans, Tempered glass side panel"
cm25,MasterBox600,Left45,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/MasterBox600/MasterBox600Black_Left45.webp,Gaming,Black,Yes,"Mesh front panel, ARGB fans, Tempered glass side panel"
cm26,Masterframe600,Front,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/Masterframe600/Masterframe600_Front.webp,Minimalist,Silver,No,"Full hexagonal mesh front panel, Tempered glass side panel"
cm26,Masterframe600,Left,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/Masterframe600/Masterframe600_Left45.webp,Minimalist,Silver,No,"Full hexagonal mesh front panel, Tempered glass side panel"
cm27,N400,Front,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/N400/N400_Front.webp,Industrial,Black,No,"Full mesh front panel, Solid side panels, Vertical front I/O"
cm27,N400,Left45,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/N400/N400_Left45.webp,Industrial,Black,No,"Full mesh front panel, Solid side panels, Vertical front I/O"
cm28,NCore100AIR,Front,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/NCore100AIR/NCore100AIR_Front.webp,Minimalist,Black,No,"Small Form Factor (SFF), Mini-ITX tower, Patterned mesh panels"
cm28,NCore101AIR,Left45,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/NCore100AIR/NCore100AIR_Left45_black.webp,Minimalist,Black,No,"Small Form Factor (SFF), Mini-ITX tower, Patterned mesh panels"
cm29,Q300LV2MiniTower,Front,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/Q300L%20V2%20%E8%BF%B7%E4%BD%A0%E7%9B%B4%E7%AB%8B%E5%BC%8F%E6%A9%9F%E7%AE%B1/Q300L%20V2%20%E8%BF%B7%E4%BD%A0%E7%9B%B4%E7%AB%8B%E5%BC%8F%E6%A9%9F%E7%AE%B1_Front_Black.webp,Minimalist,Black,No,"Large circular pattern, Perforated front panel, Visible side panel screws, Tempered glass side panel"
cm29,Q300LV2MiniTower,Left45,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/Q300L%20V2%20%E8%BF%B7%E4%BD%A0%E7%9B%B4%E7%AB%8B%E5%BC%8F%E6%A9%9F%E7%AE%B1/Q300L%20V2%20%E8%BF%B7%E4%BD%A0%E7%9B%B4%E7%AB%8B%E5%BC%8F%E6%A9%9F%E7%AE%B1_Left45_1_Black.webp,Minimalist,Black,No,"Large circular pattern, Perforated front panel, Visible side panel screws, Tempered glass side panel"
cm30,Qube500,Front,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/QUBE%20500%20%E4%BD%8E%E8%AA%BF%E9%BB%91%26%E6%A5%B5%E8%87%B4%E7%99%BD/QUBE%20500%20%E4%BD%8E%E8%AA%BF%E9%BB%91%26%E6%A5%B5%E8%87%B4%E7%99%BD_Front_Black.webp,Industrial,Black,No,"Modular design, Highly perforated panels, Large circular pattern"
cm30,Qube500,Left45,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/QUBE%20500%20%E4%BD%8E%E8%AA%BF%E9%BB%91%26%E6%A5%B5%E8%87%B4%E7%99%BD/QUBE%20500%20%E4%BD%8E%E8%AA%BF%E9%BB%91%26%E6%A5%B5%E8%87%B4%E7%99%BD_Left45_1_Black.webp,Industrial,Black,No,"Modular design, Highly perforated panels, Large circular pattern"
cm31,Qube500White,Front,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/QUBE%20500%20%E4%BD%8E%E8%AA%BF%E9%BB%91%26%E6%A5%B5%E8%87%B4%E7%99%BD/QUBE%20500%20%E4%BD%8E%E8%AA%BF%E9%BB%91%26%E6%A5%B5%E8%87%B4%E7%99%BD_Front_White.webp,Industrial,White,No,"Modular design, Highly perforated panels, Large circular pattern"
